Part_ID,Part_Name,Category_ID,Unit_Price_USD
HYD-1001,Hydraulic Pump,HYDRAULICS,450.0
HYD-1002,Hydraulic Cylinder,HYDRAULICS,320.0
HYD-1003,Hydraulic Hose,HYDRAULICS,85.0
HYD-1004,Hydraulic Valve,HYDRAULICS,175.0
HYD-1005,Pressure Relief Valve,HYDRAULICS,140.0
ELE-2001,Control Module,ELECTRONIC,680.0
ELE-2002,Electronic Sensor,ELECTRONIC,125.0
ELE-2003,Relay Module,ELECTRONIC,75.0
ELE-2004,Ignition Controller,ELECTRONIC,390.0
ELE-2005,Voltage Regulator,ELECTRONIC,210.0
FAS-3001,Hex Bolt Set,FASTENERS,25.0
FAS-3002,Lock Nut Set,FASTENERS,18.0
FAS-3003,Mounting Screw Set,FASTENERS,22.0
FAS-3004,Threaded Rod,FASTENERS,35.0
FAS-3005,Retaining Ring Set,FASTENERS,30.0
FIL-4001,Hydraulic Filter,FILTERS,55.0
FIL-4002,Oil Filter,FILTERS,32.0
FIL-4003,Air Filter,FILTERS,42.0
FIL-4004,Fuel Filter,FILTERS,48.0
FIL-4005,Return Line Filter,FILTERS,62.0
