Candidate_ID,Rank,Effective_Unit_Cost_USD,Effective_Lead_Time_Days,TOPSIS_Score
OPT-001,1,486.0,1,0.9523
OPT-003,2,459.0,2,0.666
OPT-002,3,450.0,2,0.6657
OPT-004,4,432.0,3,0.3359
OPT-006,5,427.5,3,0.3352
OPT-005,6,454.5,3,0.334
OPT-008,7,450.0,3,0.334
OPT-007,8,463.5,3,0.333
OPT-010,9,454.5,4,0.0289
OPT-009,10,477.0,4,0.0254
OPT-011,1,734.4,1,0.9523
OPT-012,2,693.6,2,0.666
OPT-013,3,680.0,2,0.6657
OPT-014,4,652.8,3,0.3359
OPT-018,5,646.0,3,0.3352
OPT-015,6,686.8,3,0.334
OPT-016,7,680.0,3,0.334
OPT-017,8,700.4,3,0.333
OPT-020,9,686.8,4,0.0289
OPT-019,10,720.8,4,0.0254
OPT-021,1,59.4,1,0.8888
OPT-023,2,55.0,2,0.6641
OPT-022,3,56.1,2,0.6628
OPT-027,4,52.25,3,0.3469
OPT-024,5,52.8,3,0.3469
OPT-025,6,55.0,3,0.3382
OPT-026,7,55.55,3,0.3372
OPT-028,8,56.65,3,0.3333
OPT-030,9,55.55,4,0.0651
OPT-029,10,58.3,4,0.0387
OPT-031,1,27.0,1,0.7445
OPT-033,2,25.0,2,0.6578
OPT-032,3,25.5,2,0.6422
OPT-036,4,23.75,3,0.4156
OPT-034,5,24.0,3,0.4094
OPT-038,6,25.0,3,0.3666
OPT-035,7,25.25,3,0.3578
OPT-037,8,25.75,3,0.3372
OPT-040,9,25.25,4,0.1559
OPT-039,10,26.5,4,0.0664
OPT-041,1,91.8,1,0.9523
OPT-042,2,86.7,2,0.666
OPT-043,3,85.0,2,0.6657
OPT-044,4,81.6,3,0.3359
OPT-048,5,80.75,3,0.3352
OPT-045,6,85.85,3,0.334
OPT-047,7,85.0,3,0.334
OPT-046,8,87.55,3,0.333
OPT-050,9,85.85,4,0.0289
OPT-049,10,90.1,4,0.0254
OPT-051,1,135.0,1,0.8888
OPT-053,2,125.0,2,0.6641
OPT-052,3,127.5,2,0.6628
OPT-058,4,118.75,3,0.3469
OPT-054,5,120.0,3,0.3469
OPT-056,6,125.0,3,0.3382
OPT-055,7,126.25,3,0.3372
OPT-057,8,128.75,3,0.3333
OPT-060,9,126.25,4,0.0651
OPT-059,10,132.5,4,0.0387
OPT-061,1,34.56,1,0.745
OPT-063,2,32.0,2,0.6578
OPT-062,3,32.64,2,0.6423
OPT-067,4,30.4,3,0.4152
OPT-064,5,30.72,3,0.4091
OPT-066,6,32.0,3,0.3665
OPT-065,7,32.32,3,0.3577
OPT-068,8,32.96,3,0.3372
OPT-070,9,33.28,4,0.0937
OPT-069,10,33.92,4,0.0664
OPT-071,1,19.44,1,0.8888
OPT-072,2,18.0,2,0.6641
OPT-073,3,18.36,2,0.6628
OPT-078,4,17.1,3,0.3469
OPT-075,5,17.28,3,0.3469
OPT-077,6,18.0,3,0.3382
OPT-074,7,18.18,3,0.3372
OPT-076,8,18.54,3,0.3333
OPT-080,9,18.18,4,0.0651
OPT-079,10,19.08,4,0.0387
