Candidate_ID,Order_ID,Warehouse_ID,Base_Unit_Cost_USD,Items_Sold_To_Date
OPT-001,ORD-8821,WH-West-CA,486.0,1075
OPT-002,ORD-8821,WH-Southwest-AZ,450.0,1075
OPT-003,ORD-8821,WH-Central-TX,459.0,1075
OPT-004,ORD-8821,WH-GreatLakes-MI,432.0,1075
OPT-005,ORD-8821,WH-North-IL,454.5,1075
OPT-006,ORD-8821,WH-SouthCentral-OK,427.5,1075
OPT-007,ORD-8821,WH-Mountain-CO,463.5,1075
OPT-008,ORD-8821,WH-Midwest-OH,450.0,1075
OPT-009,ORD-8821,WH-Pacific-WA,477.0,1075
OPT-010,ORD-8821,WH-MidAtlantic-VA,454.5,1075
OPT-011,ORD-8822,WH-West-CA,734.4,728
OPT-012,ORD-8822,WH-Central-TX,693.6,728
OPT-013,ORD-8822,WH-Southwest-AZ,680.0,728
OPT-014,ORD-8822,WH-GreatLakes-MI,652.8,728
OPT-015,ORD-8822,WH-North-IL,686.8,728
OPT-016,ORD-8822,WH-Midwest-OH,680.0,728
OPT-017,ORD-8822,WH-Mountain-CO,700.4,728
OPT-018,ORD-8822,WH-SouthCentral-OK,646.0,728
OPT-019,ORD-8822,WH-Pacific-WA,720.8,728
OPT-020,ORD-8822,WH-MidAtlantic-VA,686.8,728
OPT-021,ORD-8823,WH-West-CA,59.4,1890
OPT-022,ORD-8823,WH-Central-TX,56.1,1890
OPT-023,ORD-8823,WH-Southwest-AZ,55.0,1890
OPT-024,ORD-8823,WH-GreatLakes-MI,52.8,1890
OPT-025,ORD-8823,WH-Midwest-OH,55.0,1890
OPT-026,ORD-8823,WH-North-IL,55.55,1890
OPT-027,ORD-8823,WH-SouthCentral-OK,52.25,1890
OPT-028,ORD-8823,WH-Mountain-CO,56.65,1890
OPT-029,ORD-8823,WH-Pacific-WA,58.3,1890
OPT-030,ORD-8823,WH-MidAtlantic-VA,55.55,1890
OPT-031,ORD-8824,WH-West-CA,27.0,2654
OPT-032,ORD-8824,WH-Central-TX,25.5,2654
OPT-033,ORD-8824,WH-Southwest-AZ,25.0,2654
OPT-034,ORD-8824,WH-GreatLakes-MI,24.0,2654
OPT-035,ORD-8824,WH-North-IL,25.25,2654
OPT-036,ORD-8824,WH-SouthCentral-OK,23.75,2654
OPT-037,ORD-8824,WH-Mountain-CO,25.75,2654
OPT-038,ORD-8824,WH-Midwest-OH,25.0,2654
OPT-039,ORD-8824,WH-Pacific-WA,26.5,2654
OPT-040,ORD-8824,WH-MidAtlantic-VA,25.25,2654
OPT-041,ORD-8825,WH-West-CA,91.8,1084
OPT-042,ORD-8825,WH-Central-TX,86.7,1084
OPT-043,ORD-8825,WH-Southwest-AZ,85.0,1084
OPT-044,ORD-8825,WH-GreatLakes-MI,81.6,1084
OPT-045,ORD-8825,WH-North-IL,85.85,1084
OPT-046,ORD-8825,WH-Mountain-CO,87.55,1084
OPT-047,ORD-8825,WH-Midwest-OH,85.0,1084
OPT-048,ORD-8825,WH-SouthCentral-OK,80.75,1084
OPT-049,ORD-8825,WH-Pacific-WA,90.1,1084
OPT-050,ORD-8825,WH-MidAtlantic-VA,85.85,1084
OPT-051,ORD-8826,WH-West-CA,135.0,654
OPT-052,ORD-8826,WH-Central-TX,127.5,654
OPT-053,ORD-8826,WH-Southwest-AZ,125.0,654
OPT-054,ORD-8826,WH-GreatLakes-MI,120.0,654
OPT-055,ORD-8826,WH-North-IL,126.25,654
OPT-056,ORD-8826,WH-Midwest-OH,125.0,654
OPT-057,ORD-8826,WH-Mountain-CO,128.75,654
OPT-058,ORD-8826,WH-SouthCentral-OK,118.75,654
OPT-059,ORD-8826,WH-Pacific-WA,132.5,654
OPT-060,ORD-8826,WH-MidAtlantic-VA,126.25,654
OPT-061,ORD-8827,WH-West-CA,34.56,1894
OPT-062,ORD-8827,WH-Central-TX,32.64,1894
OPT-063,ORD-8827,WH-Southwest-AZ,32.0,1894
OPT-064,ORD-8827,WH-GreatLakes-MI,30.72,1894
OPT-065,ORD-8827,WH-North-IL,32.32,1894
OPT-066,ORD-8827,WH-Midwest-OH,32.0,1894
OPT-067,ORD-8827,WH-SouthCentral-OK,30.4,1894
OPT-068,ORD-8827,WH-Mountain-CO,32.96,1894
OPT-069,ORD-8827,WH-Pacific-WA,33.92,1894
OPT-070,ORD-8827,WH-Rockies-UT,33.28,1894
OPT-071,ORD-8828,WH-West-CA,19.44,2501
OPT-072,ORD-8828,WH-Southwest-AZ,18.0,2501
OPT-073,ORD-8828,WH-Central-TX,18.36,2501
OPT-074,ORD-8828,WH-North-IL,18.18,2501
OPT-075,ORD-8828,WH-GreatLakes-MI,17.28,2501
OPT-076,ORD-8828,WH-Mountain-CO,18.54,2501
OPT-077,ORD-8828,WH-Midwest-OH,18.0,2501
OPT-078,ORD-8828,WH-SouthCentral-OK,17.1,2501
OPT-079,ORD-8828,WH-Pacific-WA,19.08,2501
OPT-080,ORD-8828,WH-MidAtlantic-VA,18.18,2501
