Sale_ID,Timestamp,Buyer_ID,Seller_ID,Warehouse_ID,Part_ID,Quantity_Sold,Quantity_Returned,Unit_Price_USD
SALE-00001,2026-03-31 19:55:16,CUST-102,Mumbai West Hub,WH-West-CA,FIL-4003,7,0,45.17
SALE-00002,2026-07-24 18:09:11,CUST-131,Kolkata East Hub,WH-East-NC,FAS-3003,8,0,22.06
SALE-00003,2025-12-08 18:56:47,CUST-140,Bengaluru Technology Hub,WH-Pacific-WA,ELE-2002,3,0,123.54
SALE-00004,2026-07-18 19:27:37,CUST-155,Bengaluru Technology Hub,WH-Pacific-WA,FAS-3002,8,0,18.76
SALE-00005,2026-02-11 17:47:52,CUST-145,Bengaluru Technology Hub,WH-Pacific-WA,ELE-2003,3,0,70.52
SALE-00006,2026-02-19 20:56:53,CUST-130,Guwahati Northeast Hub,WH-Northeast-NY,FAS-3001,8,0,26.21
SALE-00007,2026-07-10 20:16:06,CUST-107,Mumbai West Hub,WH-West-CA,ELE-2001,1,0,667.54
SALE-00008,2025-09-26 19:04:32,CUST-106,Kolkata East Hub,WH-East-NC,FAS-3004,9,0,36.03
SALE-00009,2026-03-17 19:51:21,CUST-147,Delhi North Hub,WH-North-IL,FIL-4005,5,0,63.55
SALE-00010,2026-01-18 17:56:30,CUST-140,Hyderabad Central Hub,WH-Central-TX,FAS-3003,5,0,22.39
SALE-00011,2025-12-27 20:41:31,CUST-145,Coimbatore South Central Hub,WH-SouthCentral-OK,FIL-4005,6,0,66.6
SALE-00012,2026-03-24 17:45:16,CUST-113,Hyderabad Central Hub,WH-Central-TX,FAS-3005,11,0,29.74
SALE-00013,2026-03-13 18:25:07,CUST-103,Chennai South Hub,WH-South-FL,ELE-2003,2,0,78.79
SALE-00014,2026-02-28 20:34:01,CUST-134,Nagpur Central Hub,WH-GreatLakes-MI,HYD-1004,3,0,165.56
SALE-00015,2025-11-08 18:44:41,CUST-122,Bengaluru Technology Hub,WH-Pacific-WA,FAS-3004,13,0,35.98
SALE-00016,2025-09-09 18:24:54,CUST-120,Bengaluru Technology Hub,WH-Pacific-WA,HYD-1002,3,0,329.56
SALE-00017,2025-12-27 17:52:19,CUST-160,Chennai South Hub,WH-South-FL,FIL-4003,7,0,44.74
SALE-00018,2025-12-29 18:23:55,CUST-116,Delhi North Hub,WH-North-IL,HYD-1005,1,0,137.12
SALE-00019,2026-01-20 20:51:33,CUST-109,Mumbai West Hub,WH-West-CA,FIL-4001,9,0,53.26
