timestamp,category_id,daily_units_sold,daily_units_returned,net_units_sold,rolling_7d_avg
2025-09-01,ELECTRONIC,14,0,14,14.0
2025-09-02,ELECTRONIC,14,0,14,14.0
2025-09-03,ELECTRONIC,27,0,27,18.33333333333333
2025-09-04,ELECTRONIC,10,0,10,16.25
2025-09-05,ELECTRONIC,13,0,13,15.6
2025-09-06,ELECTRONIC,16,1,15,15.5
2025-09-07,ELECTRONIC,11,0,11,14.857142857142858
2025-09-08,ELECTRONIC,10,0,10,14.285714285714286
2025-09-09,ELECTRONIC,19,0,19,15.0
2025-09-10,ELECTRONIC,9,0,9,12.428571428571429
2025-09-11,ELECTRONIC,17,1,16,13.285714285714286
2025-09-12,ELECTRONIC,13,0,13,13.285714285714286
2025-09-13,ELECTRONIC,21,0,21,14.142857142857142
2025-09-14,ELECTRONIC,10,0,10,14.0
2025-09-15,ELECTRONIC,2,0,2,12.857142857142858
2025-09-16,ELECTRONIC,11,0,11,11.714285714285714
2025-09-17,ELECTRONIC,13,0,13,12.285714285714286
2025-09-18,ELECTRONIC,3,0,3,10.428571428571429
2025-09-19,ELECTRONIC,19,0,19,11.285714285714286
2025-09-20,ELECTRONIC,8,0,8,9.428571428571429
2025-09-21,ELECTRONIC,4,0,4,8.571428571428571
2025-09-22,ELECTRONIC,11,0,11,9.857142857142858
2025-09-23,ELECTRONIC,10,0,10,9.714285714285714
2025-09-24,ELECTRONIC,7,0,7,8.857142857142858
2025-09-25,ELECTRONIC,19,0,19,11.142857142857142
2025-09-26,ELECTRONIC,9,0,9,9.714285714285714
2025-09-27,ELECTRONIC,11,0,11,10.142857142857142
2025-09-28,ELECTRONIC,7,0,7,10.571428571428571
2025-09-29,ELECTRONIC,8,0,8,10.142857142857142
2025-09-30,ELECTRONIC,24,0,24,12.142857142857142
2025-10-01,ELECTRONIC,26,0,26,14.857142857142858
2025-10-02,ELECTRONIC,9,0,9,13.428571428571429
2025-10-03,ELECTRONIC,9,0,9,13.428571428571429
2025-10-04,ELECTRONIC,2,0,2,12.142857142857142
2025-10-05,ELECTRONIC,12,0,12,12.857142857142858
2025-10-06,ELECTRONIC,7,0,7,12.714285714285714
2025-10-07,ELECTRONIC,10,0,10,10.714285714285714
2025-10-08,ELECTRONIC,14,0,14,9.0
2025-10-09,ELECTRONIC,2,0,2,8.0
2025-10-10,ELECTRONIC,1,0,1,6.857142857142857
2025-10-11,ELECTRONIC,27,0,27,10.428571428571429
2025-10-12,ELECTRONIC,11,0,11,10.285714285714286
2025-10-13,ELECTRONIC,5,0,5,10.0
2025-10-14,ELECTRONIC,2,0,2,8.857142857142858
2025-10-15,ELECTRONIC,15,0,15,9.0
2025-10-16,ELECTRONIC,15,0,15,10.857142857142858
2025-10-17,ELECTRONIC,17,0,17,13.142857142857142
2025-10-18,ELECTRONIC,3,0,3,9.714285714285714
2025-10-19,ELECTRONIC,10,0,10,9.571428571428571
2025-10-20,ELECTRONIC,18,0,18,11.428571428571429
2025-10-21,ELECTRONIC,3,0,3,11.571428571428571
2025-10-22,ELECTRONIC,5,0,5,10.142857142857142
2025-10-23,ELECTRONIC,13,0,13,9.857142857142858
2025-10-24,ELECTRONIC,11,0,11,9.0
2025-10-25,ELECTRONIC,15,0,15,10.714285714285714
2025-10-26,ELECTRONIC,0,0,0,9.285714285714286
2025-10-27,ELECTRONIC,8,0,8,7.857142857142857
2025-10-28,ELECTRONIC,21,1,20,10.285714285714286
2025-10-29,ELECTRONIC,10,0,10,11.0
2025-10-30,ELECTRONIC,6,2,4,9.714285714285714
2025-10-31,ELECTRONIC,20,0,20,11.0
2025-11-01,ELECTRONIC,12,0,12,10.571428571428571
2025-11-02,ELECTRONIC,10,0,10,12.0
2025-11-03,ELECTRONIC,14,0,14,12.857142857142858
