transaction_id,date,competitor_part_key,canonical_part_id,historical_demand,price_per_unit
TXN-5000,2022-01-28,COMP-0001,,632,18.37
TXN-5001,2022-02-28,COMP-0002,,662,15.03
TXN-5002,2022-03-28,COMP-0003,,614,40.04
TXN-5003,2022-04-28,COMP-0004,,530,23.97
TXN-5004,2022-05-28,COMP-0005,,1174,32.39
TXN-5005,2022-06-28,COMP-0006,,1428,21.86
TXN-5006,2022-07-28,COMP-0007,,1141,41.09
TXN-5007,2022-08-28,COMP-0008,,705,42.95
TXN-5008,2022-09-28,COMP-0009,,1480,21.22
TXN-5009,2022-10-28,COMP-0010,,1410,22.61
TXN-5010,2022-11-28,COMP-0011,,1419,17.71
TXN-5011,2022-12-28,COMP-0012,,1310,27.59
TXN-5012,2023-01-28,COMP-0013,,986,40.91
TXN-5013,2023-02-28,COMP-0014,,606,16.25
TXN-5014,2023-03-28,COMP-0015,,695,26.7
TXN-5015,2023-04-28,COMP-0016,,721,32.69
TXN-5016,2023-05-28,COMP-0017,,1000,26.18
TXN-5017,2023-06-28,COMP-0018,,1110,38.82
TXN-5018,2023-07-28,COMP-0019,,596,33.22
TXN-5019,2023-08-28,COMP-0020,,764,42.08
TXN-5020,2023-09-28,COMP-0021,,1262,34.9
TXN-5021,2023-10-28,COMP-0022,,1411,34.56
TXN-5022,2023-11-28,COMP-0023,,972,31.72
TXN-5023,2023-12-28,COMP-0024,,569,23.5
TXN-5024,2024-01-28,COMP-0025,,901,23.55
TXN-5025,2024-02-28,COMP-0026,,1163,38.14
TXN-5026,2024-03-28,COMP-0027,,652,27.27
TXN-5027,2024-04-28,COMP-0028,,935,17.75
TXN-5028,2024-05-28,COMP-0029,,1351,17.45
TXN-5029,2024-06-28,COMP-0030,,527,38.39
TXN-5030,2024-07-28,COMP-0031,,791,24.75
TXN-5031,2024-08-28,COMP-0032,,1226,26.49
TXN-5032,2024-09-28,COMP-0033,,703,38.58
TXN-5033,2024-10-28,COMP-0034,,910,37.82
TXN-5034,2024-11-28,COMP-0035,,1312,21.5
TXN-5035,2024-12-28,COMP-0036,,1202,20.65
TXN-5036,2025-01-28,COMP-0037,,1436,17.13
TXN-5037,2025-02-28,COMP-0038,,922,30.21
TXN-5038,2025-03-28,COMP-0039,,1199,40.98
TXN-5039,2025-04-28,COMP-0040,,1479,40.0
TXN-5040,2025-05-28,COMP-0041,,1068,38.74
TXN-5041,2025-06-28,COMP-0042,,985,26.94
TXN-5042,2025-07-28,COMP-0043,,521,27.37
TXN-5043,2025-08-28,COMP-0044,,1238,17.11
TXN-5044,2025-09-28,COMP-0045,,1408,28.54
TXN-5045,2025-10-28,COMP-0046,,553,36.51
TXN-5046,2025-11-28,COMP-0047,,1196,17.84
TXN-5047,2025-12-28,COMP-0048,,747,15.02
TXN-5048,2026-01-28,COMP-0049,,1346,34.53
TXN-5049,2026-02-28,COMP-0050,,888,25.06
