id,warehouse_id,part_id,on_hand,reserved,damaged,available,reorder_level
1,WH-Central-TX,HYD-1001,12,4,0,8,9
2,WH-East-NC,HYD-1001,56,6,1,49,12
3,WH-West-CA,HYD-1001,10,6,1,3,8
4,WH-North-IL,HYD-1001,65,9,1,55,12
5,WH-South-FL,HYD-1001,81,6,1,74,18
6,WH-Midwest-OH,HYD-1001,49,5,0,44,10
7,WH-Pacific-WA,HYD-1001,59,7,1,51,13
8,WH-Mountain-CO,HYD-1001,62,9,1,52,12
9,WH-Southwest-AZ,HYD-1001,63,5,1,57,10
10,WH-Southeast-GA,HYD-1001,58,6,1,51,12
11,WH-Northeast-NY,HYD-1001,60,7,1,52,15
12,WH-MidAtlantic-VA,HYD-1001,62,9,1,52,14
13,WH-GreatLakes-MI,HYD-1001,63,5,1,57,12
14,WH-SouthCentral-OK,HYD-1001,72,7,1,64,14
15,WH-Rockies-UT,HYD-1001,60,7,1,52,12
16,WH-Central-TX,HYD-1002,36,4,0,32,6
17,WH-East-NC,HYD-1002,45,5,0,40,9
18,WH-West-CA,HYD-1002,41,6,0,35,5
19,WH-North-IL,HYD-1002,50,4,0,46,8
20,WH-South-FL,HYD-1002,39,4,0,35,9
21,WH-Midwest-OH,HYD-1002,39,5,0,34,7
22,WH-Pacific-WA,HYD-1002,46,6,0,40,9
23,WH-Mountain-CO,HYD-1002,48,4,0,44,8
24,WH-Southwest-AZ,HYD-1002,51,5,1,45,8
25,WH-Southeast-GA,HYD-1002,38,5,0,33,8
26,WH-Northeast-NY,HYD-1002,45,6,0,39,10
27,WH-MidAtlantic-VA,HYD-1002,47,4,0,43,9
28,WH-GreatLakes-MI,HYD-1002,51,5,1,45,9
29,WH-SouthCentral-OK,HYD-1002,41,5,0,36,7
30,WH-Rockies-UT,HYD-1002,41,6,0,35,9
31,WH-Central-TX,HYD-1003,38,5,0,33,6
32,WH-East-NC,HYD-1003,47,7,0,40,9
33,WH-West-CA,HYD-1003,43,3,0,40,5
34,WH-North-IL,HYD-1003,46,5,0,41,9
35,WH-South-FL,HYD-1003,43,5,0,38,10
36,WH-Midwest-OH,HYD-1003,41,6,0,35,7
37,WH-Pacific-WA,HYD-1003,48,4,0,44,9
38,WH-Mountain-CO,HYD-1003,50,5,0,45,8
39,WH-Southwest-AZ,HYD-1003,34,4,0,30,6
40,WH-Southeast-GA,HYD-1003,42,6,0,36,9
41,WH-Northeast-NY,HYD-1003,48,4,0,44,10
42,WH-MidAtlantic-VA,HYD-1003,49,5,0,44,9
43,WH-GreatLakes-MI,HYD-1003,53,6,1,46,9
44,WH-SouthCentral-OK,HYD-1003,36,5,0,31,7
45,WH-Rockies-UT,HYD-1003,43,3,0,40,9
46,WH-Central-TX,HYD-1004,56,8,1,47,10
47,WH-East-NC,HYD-1004,68,5,1,62,14
48,WH-West-CA,HYD-1004,52,5,1,46,8
49,WH-North-IL,HYD-1004,68,8,1,59,14
50,WH-South-FL,HYD-1004,61,9,1,51,14
51,WH-Midwest-OH,HYD-1004,62,5,1,56,12
52,WH-Pacific-WA,HYD-1004,70,7,1,62,14
53,WH-Mountain-CO,HYD-1004,64,8,1,55,14
54,WH-Southwest-AZ,HYD-1004,49,7,0,42,9
55,WH-Southeast-GA,HYD-1004,60,5,1,54,13
56,WH-Northeast-NY,HYD-1004,71,7,1,63,16
57,WH-MidAtlantic-VA,HYD-1004,72,9,1,62,14
58,WH-GreatLakes-MI,HYD-1004,48,7,0,41,10
59,WH-SouthCentral-OK,HYD-1004,52,4,1,47,10
60,WH-Rockies-UT,HYD-1004,64,6,1,57,14
61,WH-Central-TX,HYD-1005,43,3,0,40,6
62,WH-East-NC,HYD-1005,44,4,0,40,9
63,WH-West-CA,HYD-1005,42,5,0,37,6
64,WH-North-IL,HYD-1005,39,5,0,34,7
65,WH-South-FL,HYD-1005,48,4,0,44,10
66,WH-Midwest-OH,HYD-1005,47,5,0,42,8
67,WH-Pacific-WA,HYD-1005,45,5,0,40,9
68,WH-Mountain-CO,HYD-1005,49,7,0,42,9
69,WH-Southwest-AZ,HYD-1005,38,3,0,35,6
70,WH-Southeast-GA,HYD-1005,47,5,0,42,9
71,WH-Northeast-NY,HYD-1005,54,6,1,47,11
72,WH-MidAtlantic-VA,HYD-1005,50,7,0,43,11
73,WH-GreatLakes-MI,HYD-1005,37,3,0,34,7
74,WH-SouthCentral-OK,HYD-1005,41,4,0,37,7
75,WH-Rockies-UT,HYD-1005,48,6,0,42,9
76,WH-Central-TX,ELE-2001,36,4,0,32,7
77,WH-East-NC,ELE-2001,44,5,0,39,10
78,WH-West-CA,ELE-2001,38,6,0,32,7
79,WH-North-IL,ELE-2001,39,3,0,36,8
80,WH-South-FL,ELE-2001,46,5,0,41,10
