record_id,date,survey_expand_pct,survey_stagnant_pct,survey_contract_pct,raw_transit_delay_hours,current_metal_unit_cost,text_sentiment_score
1,2022-01-28,41.6,33.0,20.2,72.6,113.12,0.307
2,2022-02-28,42.0,36.3,12.3,115.9,117.96,-0.419
3,2022-03-28,48.6,24.8,26.7,60.6,80.46,-0.281
4,2022-04-28,51.9,38.2,27.9,108.1,107.36,0.373
5,2022-05-28,37.0,34.5,23.4,75.9,82.26,0.771
6,2022-06-28,31.4,34.9,15.1,78.2,84.82,-0.671
7,2022-07-28,45.7,25.9,25.8,43.1,117.6,-0.199
8,2022-08-28,43.1,36.6,14.4,85.1,110.94,0.273
9,2022-09-28,57.1,28.2,28.4,119.2,98.19,0.331
10,2022-10-28,51.2,37.7,10.4,55.9,101.77,-0.193
11,2022-11-28,56.3,30.5,21.2,55.4,113.98,0.867
12,2022-12-28,37.9,22.6,22.7,64.4,109.65,-0.192
13,2023-01-28,59.8,28.9,11.5,74.0,124.98,-0.433
14,2023-02-28,54.2,24.1,29.3,102.4,90.22,-0.326
15,2023-03-28,57.5,37.6,20.5,41.8,92.71,-0.249
16,2023-04-28,58.0,32.3,13.6,71.5,124.88,0.151
17,2023-05-28,55.6,32.1,28.4,68.9,98.85,-0.761
18,2023-06-28,42.0,22.1,13.7,42.0,80.45,0.05
19,2023-07-28,35.4,29.5,19.1,117.0,96.08,-0.169
20,2023-08-28,30.4,29.3,21.6,89.3,84.7,-0.511
21,2023-09-28,34.8,24.4,17.8,71.6,117.96,-0.064
22,2023-10-28,50.6,33.6,26.2,47.2,118.22,-0.098
23,2023-11-28,33.7,35.9,23.6,86.2,109.16,0.304
24,2023-12-28,52.0,32.8,16.8,106.6,123.83,-0.361
25,2024-01-28,38.6,34.7,20.7,74.5,108.32,0.344
26,2024-02-28,58.9,23.0,22.4,93.4,121.03,-0.071
27,2024-03-28,41.0,38.0,13.3,61.6,83.61,0.89
28,2024-04-28,32.5,37.2,18.8,106.6,88.48,0.516
29,2024-05-28,35.9,38.5,26.0,72.4,111.51,-0.27
30,2024-06-28,54.4,20.6,10.5,65.4,87.77,-0.383
31,2024-07-28,57.0,21.4,26.1,63.9,87.8,0.779
32,2024-08-28,38.1,32.7,27.5,76.1,117.35,0.838
33,2024-09-28,33.4,31.0,25.9,81.1,94.92,-0.695
34,2024-10-28,43.6,28.5,25.7,53.1,117.06,0.427
35,2024-11-28,34.2,24.3,20.5,58.7,80.08,0.851
36,2024-12-28,41.0,32.1,26.0,105.3,86.42,0.743
37,2025-01-28,34.0,26.3,12.4,52.2,87.91,0.58
38,2025-02-28,49.3,36.3,23.2,104.2,92.73,0.637
39,2025-03-28,44.4,35.5,22.0,70.0,105.54,-0.064
40,2025-04-28,40.5,33.1,23.5,77.7,123.89,0.895
41,2025-05-28,38.6,26.8,15.0,86.4,129.35,-0.417
42,2025-06-28,38.1,25.7,14.1,117.5,109.51,0.623
43,2025-07-28,35.2,38.6,22.2,54.0,103.11,0.547
44,2025-08-28,53.8,27.9,19.1,56.5,88.19,0.809
45,2025-09-28,35.9,26.3,10.1,63.3,107.25,0.157
46,2025-10-28,44.7,31.0,15.1,117.0,83.43,0.208
47,2025-11-28,53.4,31.7,28.5,74.8,125.49,-0.23
48,2025-12-28,50.8,23.8,15.1,68.8,122.29,-0.163
49,2026-01-28,38.9,38.0,26.4,97.0,80.18,-0.412
50,2026-02-28,37.9,39.5,29.4,44.6,89.53,0.752
