record_id,date,promo_active,discount_pct
1,2022-01-28,0,0.0
2,2022-02-28,0,0.0
3,2022-03-28,0,0.0
4,2022-04-28,0,0.0
5,2022-05-28,0,0.0
6,2022-06-28,1,20.0
7,2022-07-28,0,0.0
8,2022-08-28,0,0.0
9,2022-09-28,0,0.0
10,2022-10-28,0,0.0
11,2022-11-28,0,0.0
12,2022-12-28,1,20.0
13,2023-01-28,0,0.0
14,2023-02-28,0,0.0
15,2023-03-28,0,0.0
16,2023-04-28,0,0.0
17,2023-05-28,0,0.0
18,2023-06-28,1,20.0
19,2023-07-28,0,0.0
20,2023-08-28,0,0.0
21,2023-09-28,0,0.0
22,2023-10-28,0,0.0
23,2023-11-28,0,0.0
24,2023-12-28,1,20.0
25,2024-01-28,0,0.0
26,2024-02-28,0,0.0
27,2024-03-28,0,0.0
28,2024-04-28,0,0.0
29,2024-05-28,0,0.0
30,2024-06-28,1,20.0
31,2024-07-28,0,0.0
32,2024-08-28,0,0.0
33,2024-09-28,0,0.0
34,2024-10-28,0,0.0
35,2024-11-28,0,0.0
36,2024-12-28,1,20.0
37,2025-01-28,0,0.0
38,2025-02-28,0,0.0
39,2025-03-28,0,0.0
40,2025-04-28,0,0.0
41,2025-05-28,0,0.0
42,2025-06-28,1,20.0
43,2025-07-28,0,0.0
44,2025-08-28,0,0.0
45,2025-09-28,0,0.0
46,2025-10-28,0,0.0
47,2025-11-28,0,0.0
48,2025-12-28,1,20.0
49,2026-01-28,0,0.0
50,2026-02-28,0,0.0
